hunk_id,group,path,old_start,old_count,new_start,new_count,claim,evidence,disposition,legacy_review,az_review
Code/Editor/AnimationContext.cpp#1,consumers,Code/Editor/AnimationContext.cpp,22,0,23,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/AnimationContext.cpp#2,consumers,Code/Editor/AnimationContext.cpp,151,1,152,4,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/AnimationContext.cpp#3,consumers,Code/Editor/AnimationContext.cpp,157,1,161,5,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Commands/CommandManager.h#1,consumers,Code/Editor/Commands/CommandManager.h,14,1,13,0,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Commands/CommandManager.h#2,consumers,Code/Editor/Commands/CommandManager.h,16,1,14,0,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/ComponentEntityEditor/SandboxIntegration.cpp#1,consumers,Code/Editor/ComponentEntityEditor/SandboxIntegration.cpp,56,1,55,0,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/ComponentEntityEditor/SandboxIntegration.cpp#2,consumers,Code/Editor/ComponentEntityEditor/SandboxIntegration.cpp,359,1,358,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ConsoleSCB.cpp#1,consumers,Code/Editor/Controls/ConsoleSCB.cpp,12,0,13,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ConsoleSCB.cpp#2,consumers,Code/Editor/Controls/ConsoleSCB.cpp,292,1,293,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ConsoleSCB.h#1,consumers,Code/Editor/Controls/ConsoleSCB.h,12,1,11,0,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ConsoleSCB.h#2,consumers,Code/Editor/Controls/ConsoleSCB.h,31,0,31,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyCtrl.cpp#1,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyCtrl.cpp,337,1,337,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyCtrl.cpp#2,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyCtrl.cpp,340,1,340,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyCtrl.cpp#3,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyCtrl.cpp,347,1,347,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyCtrl.cpp#4,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyCtrl.cpp,350,1,350,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.cpp#1,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.cpp,42,1,42,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
